request_id;img_width;img_height;total_client_time_ms;client_read_time_ms;client_serialize_time_ms;send_time_ms;client_exec_time_ms;client_deserialize_time_ms;sla_ms;pipeline_demanda;node_cpu_free_pct;node_mem_free_pct;node_health_score;k1_total_ms;k1_wasm_ms;k1_network_receive_ms;k1_network_send_ms;k2_total_ms;k2_wasm_ms;k2_network_receive_ms;k2_network_send_ms;k3_total_ms;k3_wasm_ms;k3_network_receive_ms;k3_network_send_ms;Environment;usage
82;224;224;680.717433;0.171;2.074;54.481;620.148;1.609;15;1|3;2.44;5.02;7.46;76.0;15.0;20.0;8.0;;;;;393.0;0.0;6.0;381.0;Edge;1g
83;224;224;379.70588300000003;0.14;0.978;5.04;369.563;1.57;15;2|3;2.44;5.02;7.46;;;;;73.0;22.0;16.0;15.0;128.0;0.0;5.0;120.0;Edge;1g
84;224;224;444.710213;0.332;1.561;95.23;345.4;1.126;15;1|2|3;2.44;5.02;7.46;91.0;32.0;1.0;25.0;88.0;0.0;60.0;9.0;86.0;23.0;19.0;37.0;Edge;1g
85;1024;1024;372.581946;2.461;31.931;19.71;244.526;68.595;15;1;97.19;68.52;165.71;263.0;44.0;122.0;94.0;;;;;;;;;Cloud;full
86;1024;1024;613.153033;2.495;31.81;20.711;487.755;64.425;15;2;96.57;68.42;164.98;;;;;507.0;304.0;124.0;77.0;;;;;Cloud;full
87;1024;1024;369.548526;2.281;31.663;24.4;231.646;73.956;15;3;96.76;68.38;165.14;;;;;;;;;255.0;44.0;128.0;81.0;Cloud;full
88;1024;1024;769.464284;2.248;31.554;18.884;646.487;64.372;15;1|2;96.84;68.36;165.21;220.0;41.0;114.0;63.0;507.0;302.0;132.0;72.0;;;;;Cloud;full
89;1024;1024;497.063604;2.313;31.727;19.056;376.943;61.403;15;1|3;96.84;68.36;165.21;216.0;40.0;115.0;59.0;;;;;238.0;40.0;127.0;69.0;Cloud;full
90;1024;1024;808.328187;2.551;32.038;19.934;676.971;71.446;15;2|3;95.86;68.34;164.2;;;;;483.0;302.0;115.0;63.0;276.0;40.0;153.0;82.0;Cloud;full
91;1024;1024;995.695708;2.509;31.74;17.788;867.941;70.316;15;1|2|3;96.43;68.3;164.73;221.0;40.0;117.0;62.0;509.0;300.0;149.0;59.0;274.0;39.0;149.0;85.0;Cloud;full
92;1920;1920;1118.18704;9.015;111.328;65.046;732.908;178.234;15;1;97.21;68.2;165.41;797.0;157.0;359.0;279.0;;;;;;;;;Cloud;full
93;1920;1920;1970.626025;8.775;112.044;65.454;1608.569;157.621;15;2;96.51;68.09;164.6;;;;;1673.0;1070.0;336.0;265.0;;;;;Cloud;full
94;1920;1920;1060.3444900000002;8.877;111.793;38.55;707.259;175.049;15;3;96.8;68.09;164.88;;;;;;;;;745.0;153.0;327.0;263.0;Cloud;full
95;1920;1920;2534.1609529999996;9.786;111.204;51.293;2185.68;158.049;15;1|2;96.83;68.01;164.84;693.0;148.0;325.0;218.0;1760.0;1056.0;457.0;246.0;;;;;Cloud;full
96;1920;1920;1641.044124;9.654;110.972;63.087;1282.174;157.055;15;1|3;96.31;67.94;164.25;690.0;143.0;331.0;215.0;;;;;868.0;144.0;466.0;257.0;Cloud;full
97;1920;1920;2602.598271;9.086;111.857;60.576;2215.17;186.898;15;2|3;96.69;67.98;164.67;;;;;1603.0;1060.0;321.0;220.0;891.0;140.0;460.0;288.0;Cloud;full
98;1920;1920;3240.455173;8.886;110.933;59.096;2856.81;186.378;15;1|2|3;97.19;67.97;165.15;726.0;151.0;345.0;228.0;1736.0;1051.0;474.0;208.0;888.0;150.0;449.0;287.0;Cloud;full
99;3840;2160;2258.708113;20.496;233.39;118.511;1499.374;348.464;15;1;96.38;67.77;164.15;1617.0;345.0;646.0;624.0;;;;;;;;;Cloud;full
100;3840;2160;4178.707337;23.339;233.805;115.782;3464.726;297.534;15;2;97.38;67.78;165.16;;;;;3579.0;2388.0;627.0;562.0;;;;;Cloud;full
101;3840;2160;2277.768441;20.722;232.37;124.822;1512.377;346.99;15;3;95.14;67.41;162.55;;;;;;;;;1636.0;339.0;652.0;644.0;Cloud;full
102;3840;2160;5423.633243;22.855;233.119;115.742;4713.169;295.256;15;1|2;95.52;67.42;162.94;1467.0;339.0;635.0;492.0;3852.0;2361.0;992.0;496.0;;;;;Cloud;full
103;3840;2160;3510.3328669999996;20.584;233.873;104.116;2758.503;352.774;15;1|3;96.44;67.43;163.87;1451.0;323.0;637.0;489.0;;;;;1899.0;319.0;997.0;582.0;Cloud;full
104;3840;2160;5553.453006;20.85;233.991;123.844;4735.877;398.778;15;2|3;95.94;67.4;163.33;;;;;3448.0;2358.0;635.0;454.0;1864.0;320.0;934.0;608.0;Cloud;full
105;3840;2160;6856.037811;20.335;233.093;113.832;6045.254;401.258;15;1|2|3;95.94;67.36;163.29;1464.0;329.0;646.0;487.0;3775.0;2355.0;973.0;445.0;1850.0;316.0;918.0;613.0;Cloud;full
106;224;224;29.004578;0.171;1.571;1.201;16.875;2.122;15;1;95.94;67.36;163.29;17.0;3.0;6.0;6.0;;;;;;;;;Cloud;full
107;224;224;39.717298;0.175;1.564;1.085;34.392;1.928;15;2;97.07;67.36;164.44;;;;;34.0;21.0;6.0;6.0;;;;;Cloud;full
108;224;224;22.211152000000002;0.174;1.567;1.015;16.718;2.183;15;3;97.77;67.36;165.14;;;;;;;;;17.0;2.0;6.0;6.0;Cloud;full
109;224;224;61.684923000000005;0.174;1.594;1.143;56.208;2.03;15;1|2;97.66;67.37;165.03;17.0;3.0;7.0;5.0;43.0;25.0;10.0;6.0;;;;;Cloud;full
110;224;224;39.650564;0.16;1.528;0.796;34.556;2.053;15;1|3;97.87;67.37;165.24;17.0;3.0;7.0;5.0;;;;;22.0;3.0;10.0;6.0;Cloud;full
111;224;224;62.17684;0.166;1.55;1.264;56.173;2.44;15;2|3;97.44;67.38;164.81;;;;;39.0;25.0;6.0;5.0;23.0;3.0;11.0;7.0;Cloud;full
112;224;224;77.70225599999999;0.172;1.554;1.324;71.562;2.567;15;1|2|3;97.34;67.37;164.71;17.0;3.0;7.0;5.0;42.0;24.0;10.0;5.0;22.0;3.0;10.0;7.0;Cloud;full
113;1024;1024;376.43120600000003;2.281;31.437;16.626;248.815;71.672;15;1;47.34;28.59;75.93;264.0;48.0;109.0;105.0;;;;;;;;;Cloud;50%
114;1024;1024;647.9913339999999;2.313;31.328;17.126;526.935;64.34;15;2;46.47;29.06;75.53;;;;;543.0;335.0;115.0;91.0;;;;;Cloud;50%
115;1024;1024;363.091871;2.3;31.901;16.692;241.572;64.608;15;3;47.99;29.03;77.02;;;;;;;;;257.0;53.0;109.0;93.0;Cloud;50%
116;1024;1024;831.9082370000001;2.286;31.487;8.761;718.391;64.806;15;1|2;46.51;28.96;75.47;229.0;47.0;103.0;76.0;573.0;333.0;160.0;78.0;;;;;Cloud;50%
117;1024;1024;546.076777;2.611;31.888;14.411;427.259;63.864;15;1|3;47.69;28.97;76.66;230.0;52.0;101.0;74.0;;;;;285.0;40.0;164.0;79.0;Cloud;50%
